PMID,Title,Citation_Count,Authors,Journal,Year,DOI,DOI_Link,PubMed_URL
37047492,"Inflammatory Processes in Alzheimer's Disease-Pathomechanism, Diagnosis and Treatment: A Review.",130,"Twarowski B, Herbet M",International journal of molecular sciences,2023,10.3390/ijms24076518,https://doi.org/10.3390/ijms24076518,https://pubmed.ncbi.nlm.nih.gov/37047492/
28872215,Alzheimer's disease.,1198,"Lane CA, Hardy J, Schott JM",European journal of neurology,2017,10.1111/ene.13439,https://doi.org/10.1111/ene.13439,https://pubmed.ncbi.nlm.nih.gov/28872215/
33609479,New insights into atypical Alzheimer's disease in the era of biomarkers.,331,"Graff-Radford J, Yong KXX, Apostolova LG",The Lancet. Neurology,N/A,10.1016/S1474-4422(20)30440-3,https://doi.org/10.1016/S1474-4422(20)30440-3,https://pubmed.ncbi.nlm.nih.gov/33609479/
30135715,Current understanding of Alzheimer's disease diagnosis and treatment.,350,"Weller J, Budson A",F1000Research,2018,10.12688/f1000research.14506.1,https://doi.org/10.12688/f1000research.14506.1,https://pubmed.ncbi.nlm.nih.gov/30135715/
34101789,The Epidemiology of Alzheimer's Disease Modifiable Risk Factors and Prevention.,316,"Zhang XX, Tian Y, Wang ZT",The journal of prevention of Alzheimer's disease,N/A,10.14283/jpad.2021.15,https://doi.org/10.14283/jpad.2021.15,https://pubmed.ncbi.nlm.nih.gov/34101789/
31753135,Alzheimer's disease.,376,"Soria Lopez JA, González HM, Léger GC",Handbook of clinical neurology,N/A,10.1016/B978-0-12-804766-8.00013-3,https://doi.org/10.1016/B978-0-12-804766-8.00013-3,https://pubmed.ncbi.nlm.nih.gov/31753135/
21371747,Alzheimer's disease.,1006,"Ballard C, Gauthier S, Corbett A","Lancet (London, England)",2011,10.1016/S0140-6736(10)61349-9,https://doi.org/10.1016/S0140-6736(10)61349-9,https://pubmed.ncbi.nlm.nih.gov/21371747/
36364826,Diet in the Prevention of Alzheimer's Disease: Current Knowledge and Future Research Requirements.,66,"Stefaniak O, Dobrzyńska M, Drzymała-Czyż S",Nutrients,2022,10.3390/nu14214564,https://doi.org/10.3390/nu14214564,https://pubmed.ncbi.nlm.nih.gov/36364826/
29762152,Alzheimer's disease neuroimaging.,16,Whitwell JL,Current opinion in neurology,N/A,10.1097/WCO.0000000000000570,https://doi.org/10.1097/WCO.0000000000000570,https://pubmed.ncbi.nlm.nih.gov/29762152/
36239360,Is Alzheimer's disease a type 3 diabetes? A review.,20,"Janoutová J, Machaczka O, Zatloukalová A",Central European journal of public health,N/A,10.21101/cejph.a7238,https://doi.org/10.21101/cejph.a7238,https://pubmed.ncbi.nlm.nih.gov/36239360/
