PMID,PMC_ID,Title,Citation_Count,Authors,Journal,Year,DOI,DOI_Link,PDF_Link,PubMed_URL
33400058,PMC7784226,Recent Developments on Therapeutic and Diagnostic Approaches for COVID-19.,229,"Majumder J, Minko T",The AAPS journal,2021,10.1208/s12248-020-00532-2,https://doi.org/10.1208/s12248-020-00532-2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7784226/pdf/,https://pubmed.ncbi.nlm.nih.gov/33400058/
33126180,PMC7584564,COVID-19 diagnosis -A review of current methods.,354,"Yüce M, Filiztekin E, Özkaya KG",Biosensors & bioelectronics,2020,10.1016/j.bios.2020.112752,https://doi.org/10.1016/j.bios.2020.112752,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7584564/pdf/,https://pubmed.ncbi.nlm.nih.gov/33126180/
33664170,N/A,"COVID-19 pandemic: from origins to outcomes. A comprehensive review of viral pathogenesis, clinical manifestations, diagnostic evaluation, and management.",181,"Ochani R, Asad A, Yasmin F",Le infezioni in medicina,N/A,N/A,N/A,N/A,https://pubmed.ncbi.nlm.nih.gov/33664170/
32563999,PMC10016932,"Origin, transmission, diagnosis and management of coronavirus disease 2019 (COVID-19).",323,"Umakanthan S, Sahu P, Ranade AV",Postgraduate medical journal,2020,10.1136/postgradmedj-2020-138234,https://doi.org/10.1136/postgradmedj-2020-138234,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10016932/pdf/,https://pubmed.ncbi.nlm.nih.gov/32563999/
33572857,PMC7911532,"COVID-19: A Review on the Novel Coronavirus Disease Evolution, Transmission, Detection, Control and Prevention.",285,"Sharma A, Ahmad Farouk I, Lal SK",Viruses,2021,10.3390/v13020202,https://doi.org/10.3390/v13020202,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7911532/pdf/,https://pubmed.ncbi.nlm.nih.gov/33572857/
32749914,N/A,Resolution of coronavirus disease 2019 (COVID-19).,87,"Habas K, Nganwuchu C, Shahzad F",Expert review of anti-infective therapy,2020,10.1080/14787210.2020.1797487,https://doi.org/10.1080/14787210.2020.1797487,N/A,https://pubmed.ncbi.nlm.nih.gov/32749914/
33980687,PMC8142517,Tools and Techniques for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)/COVID-19 Detection.,201,"Safiabadi Tali SH, LeBlanc JJ, Sadiq Z",Clinical microbiology reviews,2021,10.1128/CMR.00228-20,https://doi.org/10.1128/CMR.00228-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8142517/pdf/,https://pubmed.ncbi.nlm.nih.gov/33980687/
34355645,N/A,COVID-19: clinical presentation and detection methods.,21,"Pradhan M, Shah K, Alexander A",Journal of immunoassay & immunochemistry,2021,10.1080/15321819.2021.1951291,https://doi.org/10.1080/15321819.2021.1951291,N/A,https://pubmed.ncbi.nlm.nih.gov/34355645/
33394144,PMC7780074,Detection technologies and recent developments in the diagnosis of COVID-19 infection.,162,"Rai P, Kumar BK, Deekshit VK",Applied microbiology and biotechnology,2021,10.1007/s00253-020-11061-5,https://doi.org/10.1007/s00253-020-11061-5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7780074/pdf/,https://pubmed.ncbi.nlm.nih.gov/33394144/
32685022,PMC7359073,"COVID-19: Progress in diagnostics, therapy and vaccination.",66,"Liu X, Liu C, Liu G",Theranostics,2020,10.7150/thno.47987,https://doi.org/10.7150/thno.47987,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7359073/pdf/,https://pubmed.ncbi.nlm.nih.gov/32685022/
32395792,N/A,COVID-19: Main therapeutic options.,8,"Hachfi W, Ben Lasfar N",La Tunisie medicale,N/A,N/A,N/A,N/A,https://pubmed.ncbi.nlm.nih.gov/32395792/
33410425,PMC7683586,"COVID-19: Advances in diagnostic tools, treatment strategies, and vaccine development.",50,"Sreepadmanabh M, Sahu AK, Chande A",Journal of biosciences,N/A,10.1007/s12038-020-00114-6,https://doi.org/10.1007/s12038-020-00114-6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7683586/pdf/,https://pubmed.ncbi.nlm.nih.gov/33410425/
36656511,PMC9850341,The Potential of Nanobodies for COVID-19 Diagnostics and Therapeutics.,12,"Naidoo DB, Chuturgoon AA",Molecular diagnosis & therapy,2023,10.1007/s40291-022-00634-x,https://doi.org/10.1007/s40291-022-00634-x,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9850341/pdf/,https://pubmed.ncbi.nlm.nih.gov/36656511/
32321823,PMC7178552,COVID-19: an Immunopathological View.,50,Kadkhoda K,mSphere,2020,10.1128/mSphere.00344-20,https://doi.org/10.1128/mSphere.00344-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7178552/pdf/,https://pubmed.ncbi.nlm.nih.gov/32321823/
34356617,PMC8301790,"COVID-19: Unmasking Emerging SARS-CoV-2 Variants, Vaccines and Therapeutic Strategies.",117,"Raman R, Patel KJ, Ranjan K",Biomolecules,2021,10.3390/biom11070993,https://doi.org/10.3390/biom11070993,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8301790/pdf/,https://pubmed.ncbi.nlm.nih.gov/34356617/
33215941,PMC8960230,Advances in Technology to Address COVID-19.,1,"Chow EK, Wong PK, Ding X",SLAS technology,N/A,10.1177/2472630320969634,https://doi.org/10.1177/2472630320969634,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8960230/pdf/,https://pubmed.ncbi.nlm.nih.gov/33215941/
32877828,PMC7441891,Immunotherapeutic approaches to curtail COVID-19.,38,"Owji H, Negahdaripour M, Hajighahramani N",International immunopharmacology,2020,10.1016/j.intimp.2020.106924,https://doi.org/10.1016/j.intimp.2020.106924,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7441891/pdf/,https://pubmed.ncbi.nlm.nih.gov/32877828/
36934395,N/A,"Exosomes in COVID-19 infection: Focus on role in diagnosis, pathogenesis, immunity, and clinical trials.",8,"Aljuhani A, Albalawi O, Albalawi R",Cell biology international,2023,10.1002/cbin.12014,https://doi.org/10.1002/cbin.12014,N/A,https://pubmed.ncbi.nlm.nih.gov/36934395/
33172592,PMC7580531,Update in COVID-19 in the intensive care unit from the 2020 HELLENIC Athens International symposium.,20,"Rello J, Belliato M, Dimopoulos MA","Anaesthesia, critical care & pain medicine",2020,10.1016/j.accpm.2020.10.008,https://doi.org/10.1016/j.accpm.2020.10.008,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7580531/pdf/,https://pubmed.ncbi.nlm.nih.gov/33172592/
33234439,PMC7836413,COVID-19 Antibody Tests: A Valuable Public Health Tool with Limited Relevance to Individuals.,50,"West R, Kobokovich A, Connell N",Trends in microbiology,2020,10.1016/j.tim.2020.11.002,https://doi.org/10.1016/j.tim.2020.11.002,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7836413/pdf/,https://pubmed.ncbi.nlm.nih.gov/33234439/
34061640,N/A,COVID-19 Pandemic and Virtual Clinics for Diabetes Care.,2,"Garg SK, Reinicke T",Diabetes technology & therapeutics,N/A,10.1089/dia.2021.2501,https://doi.org/10.1089/dia.2021.2501,N/A,https://pubmed.ncbi.nlm.nih.gov/34061640/
33539260,N/A,Targets and assay types for COVID-19 diagnosis.,4,"Bostan M, Ataman M, Bostan IS",Journal of immunoassay & immunochemistry,N/A,10.1080/15321819.2020.1862866,https://doi.org/10.1080/15321819.2020.1862866,N/A,https://pubmed.ncbi.nlm.nih.gov/33539260/
33787511,N/A,Serological and Molecular Tests for COVID-19: a recent update.,5,"Mansourabadi AH, Sadeghalvad M, Mohammadi-Motlagh HR",Iranian journal of immunology : IJI,N/A,10.22034/iji.2021.88660.1894,https://doi.org/10.22034/iji.2021.88660.1894,N/A,https://pubmed.ncbi.nlm.nih.gov/33787511/
38996774,N/A,"Recapitulating COVID-19 detection methods: RT-PCR, sniffer dogs and electronic nose.",0,"Grizzi F, Bax C, Farina FM",Diagnostic microbiology and infectious disease,2024,10.1016/j.diagmicrobio.2024.116430,https://doi.org/10.1016/j.diagmicrobio.2024.116430,N/A,https://pubmed.ncbi.nlm.nih.gov/38996774/
35024942,PMC8757403,Self-limiting COVID-19-associated Kikuchi-Fujimoto disease with heart involvement: case-based review.,12,"Masiak A, Lass A, Kowalski J",Rheumatology international,2022,10.1007/s00296-021-05088-8,https://doi.org/10.1007/s00296-021-05088-8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8757403/pdf/,https://pubmed.ncbi.nlm.nih.gov/35024942/
33522478,PMC8007324,"Postvaccination COVID-19 among Healthcare Workers, Israel.",52,"Amit S, Beni SA, Biber A",Emerging infectious diseases,2021,10.3201/eid2704.210016,https://doi.org/10.3201/eid2704.210016,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8007324/pdf/,https://pubmed.ncbi.nlm.nih.gov/33522478/
32916249,PMC7480448,Integrated control of COVID-19 in resource-poor countries.,16,"Aziz AB, Raqib R, Khan WA",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,2020,10.1016/j.ijid.2020.09.009,https://doi.org/10.1016/j.ijid.2020.09.009,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7480448/pdf/,https://pubmed.ncbi.nlm.nih.gov/32916249/
33355886,PMC7756132,Antibody response and therapy in COVID-19 patients: what can be learned for vaccine development?,24,"Lu L, Zhang H, Zhan M",Science China. Life sciences,2020,10.1007/s11427-020-1859-y,https://doi.org/10.1007/s11427-020-1859-y,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7756132/pdf/,https://pubmed.ncbi.nlm.nih.gov/33355886/
32336317,PMC7196187,COVID-19: an update on diagnostic and therapeutic approaches.,36,"Iyer M, Jayaramayya K, Subramaniam MD",BMB reports,N/A,10.5483/BMBRep.2020.53.4.080,https://doi.org/10.5483/BMBRep.2020.53.4.080,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7196187/pdf/,https://pubmed.ncbi.nlm.nih.gov/32336317/
34478703,PMC8406551,Novel approaches for rapid detection of COVID-19 during the pandemic: A review.,19,"Ilkhani H, Hedayat N, Farhad S",Analytical biochemistry,2021,10.1016/j.ab.2021.114362,https://doi.org/10.1016/j.ab.2021.114362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8406551/pdf/,https://pubmed.ncbi.nlm.nih.gov/34478703/
