PMID,Title,Citation_Count,Authors,Journal,Year,DOI,DOI_Link,PubMed_URL
39083773,Parkinson's Disease.,85,"Tanner CM, Ostrem JL",The New England journal of medicine,N/A,10.1056/NEJMra2401857,https://doi.org/10.1056/NEJMra2401857,https://pubmed.ncbi.nlm.nih.gov/39083773/
16361025,The diagnosis of Parkinson's disease.,305,"Tolosa E, Wenning G, Poewe W",The Lancet. Neurology,N/A,10.1016/S1474-4422(05)70285-4,https://doi.org/10.1016/S1474-4422(05)70285-4,https://pubmed.ncbi.nlm.nih.gov/16361025/
31356286,Parkinson Disease.,29,Zesiewicz TA,"Continuum (Minneapolis, Minn.)",N/A,10.1212/CON.0000000000000764,https://doi.org/10.1212/CON.0000000000000764,https://pubmed.ncbi.nlm.nih.gov/31356286/
33252908,Parkinson Disease.,21,"Halli-Tierney AD, Luker J, Carroll DG",American family physician,N/A,N/A,N/A,https://pubmed.ncbi.nlm.nih.gov/33252908/
40185518,Pathogenesis of Parkinson's Disease.,4,"Xiao B, Zhou Z, Chao Y",Neurologic clinics,2025,10.1016/j.ncl.2024.12.003,https://doi.org/10.1016/j.ncl.2024.12.003,https://pubmed.ncbi.nlm.nih.gov/40185518/
31733706,Parkinson Disease.,3,"Singer C, Reich SG",Clinics in geriatric medicine,2019,10.1016/j.cger.2019.10.001,https://doi.org/10.1016/j.cger.2019.10.001,https://pubmed.ncbi.nlm.nih.gov/31733706/
31991804,Neurobiology Research in Parkinson's Disease.,5,Yasuhara T,International journal of molecular sciences,2020,10.3390/ijms21030793,https://doi.org/10.3390/ijms21030793,https://pubmed.ncbi.nlm.nih.gov/31991804/
31733705,Depression and Anxiety in Parkinson Disease.,51,"Ray S, Agarwal P",Clinics in geriatric medicine,2019,10.1016/j.cger.2019.09.012,https://doi.org/10.1016/j.cger.2019.09.012,https://pubmed.ncbi.nlm.nih.gov/31733705/
27243427,Parkinson Disease.,33,"Capriotti T, Terzakis K",Home healthcare now,N/A,10.1097/NHH.0000000000000398,https://doi.org/10.1097/NHH.0000000000000398,https://pubmed.ncbi.nlm.nih.gov/27243427/
30459035,Thermoregulation in Parkinson disease.,27,"Coon EA, Low PA",Handbook of clinical neurology,N/A,10.1016/B978-0-444-64074-1.00043-4,https://doi.org/10.1016/B978-0-444-64074-1.00043-4,https://pubmed.ncbi.nlm.nih.gov/30459035/
