PMID,Title,Citation_Count,Authors,Journal,Year,DOI,DOI_Link,PubMed_URL
33848468,Parkinson's disease.,1556,"Bloem BR, Okun MS, Klein C","Lancet (London, England)",2021,10.1016/S0140-6736(21)00218-X,https://doi.org/10.1016/S0140-6736(21)00218-X,https://pubmed.ncbi.nlm.nih.gov/33848468/
25904081,Parkinson's disease.,2802,"Kalia LV, Lang AE","Lancet (London, England)",2015,10.1016/S0140-6736(14)61393-3,https://doi.org/10.1016/S0140-6736(14)61393-3,https://pubmed.ncbi.nlm.nih.gov/25904081/
30890425,Parkinson's Disease and Parkinsonism.,336,Hayes MT,The American journal of medicine,2019,10.1016/j.amjmed.2019.03.001,https://doi.org/10.1016/j.amjmed.2019.03.001,https://pubmed.ncbi.nlm.nih.gov/30890425/
33894193,Challenges in the diagnosis of Parkinson's disease.,731,"Tolosa E, Garrido A, Scholz SW",The Lancet. Neurology,N/A,10.1016/S1474-4422(21)00030-2,https://doi.org/10.1016/S1474-4422(21)00030-2,https://pubmed.ncbi.nlm.nih.gov/33894193/
27751556,The epidemiology of Parkinson's disease: risk factors and prevention.,892,"Ascherio A, Schwarzschild MA",The Lancet. Neurology,2016,10.1016/S1474-4422(16)30230-7,https://doi.org/10.1016/S1474-4422(16)30230-7,https://pubmed.ncbi.nlm.nih.gov/27751556/
31625879,[Parkinson's Disease: Clinical Review and Update].,56,"Cabreira V, Massano J",Acta medica portuguesa,N/A,10.20344/amp.11978,https://doi.org/10.20344/amp.11978,https://pubmed.ncbi.nlm.nih.gov/31625879/
27401947,The clinical symptoms of Parkinson's disease.,501,Sveinbjornsdottir S,Journal of neurochemistry,2016,10.1111/jnc.13691,https://doi.org/10.1111/jnc.13691,https://pubmed.ncbi.nlm.nih.gov/27401947/
28954481,Motor assessment in Parkinson`s disease.,105,"Opara J, Małecki A, Małecka E",Annals of agricultural and environmental medicine : AAEM,2017,10.5604/12321966.1232774,https://doi.org/10.5604/12321966.1232774,https://pubmed.ncbi.nlm.nih.gov/28954481/
25987282,Gastrointestinal dysfunction in Parkinson's disease.,394,"Fasano A, Visanji NP, Liu LW",The Lancet. Neurology,N/A,10.1016/S1474-4422(15)00007-1,https://doi.org/10.1016/S1474-4422(15)00007-1,https://pubmed.ncbi.nlm.nih.gov/25987282/
28936761,Biomarkers for Parkinson's Disease: Recent Advancement.,117,"Lotankar S, Prabhavalkar KS, Bhatt LK",Neuroscience bulletin,2017,10.1007/s12264-017-0183-5,https://doi.org/10.1007/s12264-017-0183-5,https://pubmed.ncbi.nlm.nih.gov/28936761/
