PMID,PMC_ID,Title,Citation_Count,Authors,Journal,Year,DOI,DOI_Link,PDF_Link,PubMed_URL
37389974,PMC10316736,Secretory carrier-associated membrane protein 5 regulates cell-surface targeting of T-type calcium channels.,1,"Mustafá ER, Weiß K, Weiss N","Channels (Austin, Tex.)",N/A,10.1080/19336950.2023.2230776,https://doi.org/10.1080/19336950.2023.2230776,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10316736/pdf/,https://pubmed.ncbi.nlm.nih.gov/37389974/
34980194,PMC8721997,Secretory carrier-associated membrane protein 2 (SCAMP2) regulates cell surface expression of T-type calcium channels.,5,"Cmarko L, Stringer RN, Jurkovicova-Tarabova B",Molecular brain,2022,10.1186/s13041-021-00891-7,https://doi.org/10.1186/s13041-021-00891-7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8721997/pdf/,https://pubmed.ncbi.nlm.nih.gov/34980194/
37876250,PMC11062375,The NLRX1-SLC39A7 complex orchestrates mitochondrial dynamics and mitophagy to rejuvenate intervertebral disc by modulating mitochondrial Zn<sup>2+</sup> trafficking.,28,"Song Y, Liang H, Li G",Autophagy,2023,10.1080/15548627.2023.2274205,https://doi.org/10.1080/15548627.2023.2274205,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062375/pdf/,https://pubmed.ncbi.nlm.nih.gov/37876250/
36632962,N/A,Vitamin C transport in neurons and epithelia is regulated by secretory carrier-associated membrane protein-2 (SCAMP2).,0,"Rashid MA, Lin-Moshier Y, Gunaratne GS",International journal of biological macromolecules,2023,10.1016/j.ijbiomac.2023.123205,https://doi.org/10.1016/j.ijbiomac.2023.123205,N/A,https://pubmed.ncbi.nlm.nih.gov/36632962/
34378951,PMC8552740,Secretory Carrier Membrane Protein 3 Interacts with 3A Viral Protein of Enterovirus and Participates in Viral Replication.,6,"Lu JY, Brewer G, Li ML",Microbiology spectrum,2021,10.1128/spectrum.00475-21,https://doi.org/10.1128/spectrum.00475-21,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8552740/pdf/,https://pubmed.ncbi.nlm.nih.gov/34378951/
21353564,N/A,Salmonella-induced tubular networks.,42,"Schroeder N, Mota LJ, Méresse S",Trends in microbiology,2011,10.1016/j.tim.2011.01.006,https://doi.org/10.1016/j.tim.2011.01.006,N/A,https://pubmed.ncbi.nlm.nih.gov/21353564/
25478561,PMC4235465,Secretory Carrier Membrane Protein (SCAMP) deficiency influences behavior of adult flies.,11,"Zheng JC, Tham CT, Keatings K",Frontiers in cell and developmental biology,2014,10.3389/fcell.2014.00064,https://doi.org/10.3389/fcell.2014.00064,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4235465/pdf/,https://pubmed.ncbi.nlm.nih.gov/25478561/
21205824,PMC3059028,Secretory carrier membrane protein 2 regulates exocytic insertion of NKCC2 into the cell membrane.,19,"Zaarour N, Defontaine N, Demaretz S",The Journal of biological chemistry,2011,10.1074/jbc.M110.166546,https://doi.org/10.1074/jbc.M110.166546,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3059028/pdf/,https://pubmed.ncbi.nlm.nih.gov/21205824/
31338393,PMC6626879,Data on molecular characterization and gene expression analysis of secretory carrier-associated membrane protein 5 (SCAMP5) from the red sea bream (<i>Pagrus major</i>).,1,"Heo MJ, Kim A, Park CI",Data in brief,2019,10.1016/j.dib.2019.103901,https://doi.org/10.1016/j.dib.2019.103901,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6626879/pdf/,https://pubmed.ncbi.nlm.nih.gov/31338393/
24359957,N/A,Liposome-based assays to study membrane-associated protein networks.,3,"Niehage C, Stange C, Anitei M",Methods in enzymology,N/A,10.1016/B978-0-12-397926-1.00013-5,https://doi.org/10.1016/B978-0-12-397926-1.00013-5,N/A,https://pubmed.ncbi.nlm.nih.gov/24359957/
