PMID,PMC_ID,Title,Citation_Count,Authors,Journal,Year,DOI,DOI_Link,PDF_Link,PubMed_URL
37389974,PMC10316736,Secretory carrier-associated membrane protein 5 regulates cell-surface targeting of T-type calcium channels.,1,"Mustafá ER, Weiß K, Weiss N","Channels (Austin, Tex.)",N/A,10.1080/19336950.2023.2230776,https://doi.org/10.1080/19336950.2023.2230776,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10316736/pdf/,https://pubmed.ncbi.nlm.nih.gov/37389974/
34980194,PMC8721997,Secretory carrier-associated membrane protein 2 (SCAMP2) regulates cell surface expression of T-type calcium channels.,5,"Cmarko L, Stringer RN, Jurkovicova-Tarabova B",Molecular brain,2022,10.1186/s13041-021-00891-7,https://doi.org/10.1186/s13041-021-00891-7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8721997/pdf/,https://pubmed.ncbi.nlm.nih.gov/34980194/
29439479,PMC5852775,Zinc and Skin Disorders.,78,"Ogawa Y, Kinoshita M, Shimada S",Nutrients,2018,10.3390/nu10020199,https://doi.org/10.3390/nu10020199,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5852775/pdf/,https://pubmed.ncbi.nlm.nih.gov/29439479/
37876250,PMC11062375,The NLRX1-SLC39A7 complex orchestrates mitochondrial dynamics and mitophagy to rejuvenate intervertebral disc by modulating mitochondrial Zn<sup>2+</sup> trafficking.,28,"Song Y, Liang H, Li G",Autophagy,2023,10.1080/15548627.2023.2274205,https://doi.org/10.1080/15548627.2023.2274205,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062375/pdf/,https://pubmed.ncbi.nlm.nih.gov/37876250/
29298676,PMC5753437,A multi-omics approach reveals function of Secretory Carrier-Associated Membrane Proteins in wood formation of​ ​​Populus​​ ​trees.,14,"Obudulu O, Mähler N, Skotare T",BMC genomics,2018,10.1186/s12864-017-4411-1,https://doi.org/10.1186/s12864-017-4411-1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5753437/pdf/,https://pubmed.ncbi.nlm.nih.gov/29298676/
34378951,PMC8552740,Secretory Carrier Membrane Protein 3 Interacts with 3A Viral Protein of Enterovirus and Participates in Viral Replication.,6,"Lu JY, Brewer G, Li ML",Microbiology spectrum,2021,10.1128/spectrum.00475-21,https://doi.org/10.1128/spectrum.00475-21,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8552740/pdf/,https://pubmed.ncbi.nlm.nih.gov/34378951/
36632962,N/A,Vitamin C transport in neurons and epithelia is regulated by secretory carrier-associated membrane protein-2 (SCAMP2).,0,"Rashid MA, Lin-Moshier Y, Gunaratne GS",International journal of biological macromolecules,2023,10.1016/j.ijbiomac.2023.123205,https://doi.org/10.1016/j.ijbiomac.2023.123205,N/A,https://pubmed.ncbi.nlm.nih.gov/36632962/
15840657,N/A,"Secretory carrier membrane proteins interact and regulate trafficking of the organellar (Na+,K+)/H+ exchanger NHE7.",31,"Lin PJ, Williams WP, Luu Y",Journal of cell science,2005,10.1242/jcs.02315,https://doi.org/10.1242/jcs.02315,N/A,https://pubmed.ncbi.nlm.nih.gov/15840657/
37334845,PMC10317151,Mammalian cargo receptors for endoplasmic reticulum-to-Golgi transport: mechanisms and interactions.,11,"Zhang Y, Srivastava V, Zhang B",Biochemical Society transactions,N/A,10.1042/BST20220713,https://doi.org/10.1042/BST20220713,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10317151/pdf/,https://pubmed.ncbi.nlm.nih.gov/37334845/
9230141,PMC1218595,"Two Rab proteins, vesicle-associated membrane protein 2 (VAMP-2) and secretory carrier membrane proteins (SCAMPs), are present on immunoisolated parietal cell tubulovesicles.",23,"Calhoun BC, Goldenring JR",The Biochemical journal,N/A,10.1042/bj3250559,https://doi.org/10.1042/bj3250559,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1218595/pdf/,https://pubmed.ncbi.nlm.nih.gov/9230141/
25478561,PMC4235465,Secretory Carrier Membrane Protein (SCAMP) deficiency influences behavior of adult flies.,11,"Zheng JC, Tham CT, Keatings K",Frontiers in cell and developmental biology,2014,10.3389/fcell.2014.00064,https://doi.org/10.3389/fcell.2014.00064,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4235465/pdf/,https://pubmed.ncbi.nlm.nih.gov/25478561/
